order_id,order_date,promised_date,delivered_date,region,category,carrier,units_ordered,units_shipped,unit_price
ORD-0022,2025-02-22,2025-03-02,2025-03-02,East,Consumables,CargoOne,29,28,161.54
ORD-0023,2025-04-24,2025-04-30,2025-04-30,South,Finished Goods,BlueLine,64,62,169.28
ORD-0024,2025-01-24,2025-02-01,2025-02-01,South,Finished Goods,BlueLine,63,58,108.42
ORD-0025,2025-02-04,2025-02-08,2025-02-09,South,Finished Goods,Atlas,28,28,84.73
ORD-0026,2025-01-16,2025-01-24,2025-01-26,North,Consumables,CargoOne,62,61,159.74
ORD-0027,2025-05-01,2025-05-08,2025-05-12,East,Finished Goods,Atlas,46,46,51.97
ORD-0028,2025-06-25,2025-06-29,2025-07-01,South,Components,Atlas,88,88,139.76
ORD-0029,2025-04-02,2025-04-09,2025-04-09,South,Components,CargoOne,14,14,107.44
ORD-0030,2025-06-09,2025-06-14,2025-06-14,South,Components,BlueLine,17,17,81.27
ORD-0031,2025-02-20,2025-02-24,2025-02-24,West,Consumables,Atlas,76,71,39.88
ORD-0032,2025-01-18,2025-01-26,2025-01-30,North,Consumables,CargoOne,118,118,115.19
ORD-0033,2025-02-19,2025-02-23,2025-02-23,South,Consumables,CargoOne,98,98,156.17
ORD-0034,2025-03-26,2025-04-03,2025-04-03,West,Finished Goods,Atlas,69,69,53.20
ORD-0035,2025-04-16,2025-04-21,2025-04-20,South,Consumables,CargoOne,103,103,109.88
ORD-0036,2025-03-13,2025-03-19,2025-03-21,South,Components,BlueLine,104,104,134.79
ORD-0037,2025-03-27,2025-04-01,2025-04-01,North,Finished Goods,Atlas,90,90,136.04
ORD-0038,2025-01-01,2025-01-09,2025-01-09,North,Consumables,Atlas,39,39,103.94
ORD-0039,2025-03-23,2025-03-27,2025-03-29,West,Consumables,CargoOne,107,107,173.89
ORD-0040,2025-01-11,2025-01-18,2025-01-20,South,Components,Atlas,47,45,123.65
ORD-0041,2025-03-19,2025-03-25,2025-03-25,East,Finished Goods,BlueLine,48,46,118.52
ORD-0042,2025-01-28,2025-02-05,2025-02-05,South,Components,Atlas,33,33,24.24
ORD-0043,2025-01-03,2025-01-09,2025-01-09,West,Finished Goods,Atlas,31,26,171.87
ORD-0044,2025-02-23,2025-02-27,2025-02-26,South,Components,BlueLine,63,63,115.04
ORD-0045,2025-02-27,2025-03-05,2025-03-04,West,Consumables,BlueLine,53,53,97.94
ORD-0046,2025-02-25,2025-03-01,2025-03-01,North,Finished Goods,BlueLine,79,79,12.67
ORD-0047,2025-01-30,2025-02-06,2025-02-05,North,Finished Goods,BlueLine,68,63,34.39
ORD-0048,2025-05-22,2025-05-30,2025-05-30,West,Components,BlueLine,72,72,139.31
ORD-0049,2025-01-17,2025-01-22,2025-01-21,West,Components,Atlas,35,35,110.87
ORD-0050,2025-01-03,2025-01-06,2025-01-06,South,Consumables,BlueLine,91,90,63.60
ORD-0051,2025-02-14,2025-02-17,2025-02-16,East,Finished Goods,BlueLine,64,63,104.42
ORD-0052,2025-06-12,2025-06-20,2025-06-20,West,Finished Goods,BlueLine,38,38,147.62
ORD-0053,2025-03-07,2025-03-11,2025-03-12,East,Consumables,BlueLine,13,13,59.05
ORD-0054,2025-05-18,2025-05-21,2025-05-21,North,Consumables,Atlas,89,89,76.05
ORD-0055,2025-02-25,2025-03-01,2025-02-28,East,Consumables,BlueLine,40,40,20.54
ORD-0056,2025-03-11,2025-03-15,2025-03-15,East,Finished Goods,CargoOne,27,26,106.97
ORD-0057,2025-05-20,2025-05-27,2025-05-28,South,Consumables,Atlas,113,113,60.79
ORD-0058,2025-06-10,2025-06-15,2025-06-15,East,Finished Goods,BlueLine,103,93,166.79
ORD-0059,2025-06-23,2025-07-01,2025-07-01,North,Finished Goods,Atlas,83,82,78.12
ORD-0060,2025-02-18,2025-02-22,2025-02-23,South,Finished Goods,BlueLine,53,53,46.86
ORD-0061,2025-01-22,2025-01-28,2025-01-27,West,Components,Atlas,63,63,61.80
ORD-0062,2025-06-10,2025-06-16,2025-06-16,West,Components,Atlas,109,107,86.09
ORD-0063,2025-01-05,2025-01-08,2025-01-10,East,Finished Goods,Atlas,79,79,127.08
ORD-0064,2025-06-22,2025-06-26,2025-06-26,East,Consumables,Atlas,109,109,164.13
ORD-0065,2025-01-04,2025-01-07,2025-01-07,West,Components,Atlas,79,79,78.88
ORD-0066,2025-02-27,2025-03-04,2025-03-04,South,Components,Atlas,19,19,150.83
ORD-0067,2025-02-19,2025-02-23,2025-02-24,East,Finished Goods,CargoOne,64,64,23.01
ORD-0068,2025-05-26,2025-05-31,2025-05-31,West,Finished Goods,BlueLine,62,62,97.65
ORD-0069,2025-06-24,2025-06-30,2025-06-30,South,Consumables,CargoOne,93,91,61.87
ORD-0070,2025-02-20,2025-02-26,2025-02-28,West,Finished Goods,BlueLine,53,52,87.41
ORD-0071,2025-03-26,2025-04-03,2025-04-05,South,Finished Goods,Atlas,22,22,108.46
ORD-0072,2025-03-23,2025-03-30,2025-03-30,North,Finished Goods,CargoOne,29,28,178.44
ORD-0073,2025-02-01,2025-02-06,2025-02-06,East,Consumables,Atlas,100,100,146.17
ORD-0074,2025-01-30,2025-02-06,2025-02-06,South,Consumables,BlueLine,22,22,131.89
ORD-0075,2025-03-11,2025-03-16,2025-03-15,South,Finished Goods,CargoOne,27,27,87.17
ORD-0076,2025-03-08,2025-03-16,2025-03-17,East,Components,Atlas,82,82,84.94
ORD-0077,2025-06-10,2025-06-15,2025-06-16,East,Consumables,CargoOne,35,33,99.68
ORD-0078,2025-04-18,2025-04-26,2025-04-25,North,Finished Goods,CargoOne,22,22,27.30
ORD-0079,2025-01-19,2025-01-26,2025-01-26,East,Finished Goods,BlueLine,63,63,66.83
ORD-0080,2025-04-08,2025-04-13,2025-04-13,South,Components,CargoOne,48,48,173.82
ORD-0081,2025-05-11,2025-05-14,2025-05-15,South,Finished Goods,BlueLine,74,74,55.98
ORD-0082,2025-01-12,2025-01-16,2025-01-16,South,Components,CargoOne,45,44,171.62
ORD-0083,2025-05-26,2025-06-03,2025-06-02,North,Consumables,CargoOne,78,76,163.27
ORD-0084,2025-05-25,2025-06-02,2025-06-02,North,Consumables,BlueLine,19,19,55.18
ORD-0085,2025-04-12,2025-04-19,2025-04-18,North,Finished Goods,CargoOne,120,120,12.69
ORD-0086,2025-05-11,2025-05-15,2025-05-17,West,Components,CargoOne,91,91,140.25
ORD-0087,2025-06-10,2025-06-16,2025-06-18,North,Consumables,CargoOne,10,10,9.38
ORD-0088,2025-01-12,2025-01-15,2025-01-16,South,Consumables,Atlas,42,42,134.72
ORD-0089,2025-02-25,2025-03-03,2025-03-03,West,Components,Atlas,77,77,13.06
ORD-0090,2025-04-04,2025-04-07,2025-04-09,South,Components,Atlas,78,77,61.41
ORD-0091,2025-01-26,2025-02-02,2025-02-03,South,Components,CargoOne,109,109,176.25
ORD-0092,2025-03-31,2025-04-08,2025-04-12,South,Components,CargoOne,110,110,13.51
ORD-0093,2025-01-19,2025-01-27,2025-01-31,South,Components,BlueLine,120,120,9.35
ORD-0094,2025-04-10,2025-04-17,2025-04-17,South,Consumables,Atlas,26,25,81.66
ORD-0095,2025-03-08,2025-03-11,2025-03-11,North,Components,CargoOne,118,118,81.21
ORD-0096,2025-03-14,2025-03-20,2025-03-24,North,Components,CargoOne,88,88,153.69
ORD-0097,2025-01-12,2025-01-15,2025-01-15,East,Components,BlueLine,118,116,163.19
ORD-0098,2025-06-01,2025-06-04,2025-06-06,West,Components,Atlas,111,106,78.25
ORD-0099,2025-06-16,2025-06-24,2025-06-24,East,Consumables,BlueLine,89,89,75.88
ORD-0100,2025-02-17,2025-02-21,2025-02-22,West,Finished Goods,CargoOne,106,101,174.67
ORD-0101,2025-02-21,2025-02-26,2025-02-28,South,Components,BlueLine,70,70,56.74
ORD-0102,2025-06-22,2025-06-27,2025-06-27,North,Finished Goods,CargoOne,120,120,178.02
ORD-0103,2025-06-17,2025-06-21,2025-06-23,East,Components,CargoOne,50,49,141.09
ORD-0104,2025-02-12,2025-02-18,2025-02-20,South,Consumables,CargoOne,13,3,69.11
ORD-0105,2025-01-02,2025-01-08,2025-01-08,East,Components,BlueLine,68,68,106.77
ORD-0106,2025-01-10,2025-01-17,2025-01-18,North,Components,Atlas,15,15,80.59
ORD-0107,2025-01-06,2025-01-13,2025-01-12,North,Components,CargoOne,77,76,106.36
ORD-0108,2025-06-04,2025-06-10,2025-06-10,West,Components,BlueLine,57,57,143.22
ORD-0109,2025-06-15,2025-06-21,2025-06-21,North,Components,BlueLine,45,44,79.26
ORD-0110,2025-04-08,2025-04-12,2025-04-14,West,Consumables,CargoOne,10,10,159.36
ORD-0111,2025-06-04,2025-06-12,2025-06-12,East,Consumables,Atlas,11,11,16.49
ORD-0112,2025-06-06,2025-06-10,2025-06-10,North,Components,BlueLine,36,36,45.35
ORD-0113,2025-02-11,2025-02-18,2025-02-18,South,Consumables,Atlas,89,89,143.08
ORD-0114,2025-04-22,2025-04-26,2025-04-26,East,Finished Goods,BlueLine,26,26,134.84
ORD-0115,2025-04-13,2025-04-20,2025-04-21,North,Components,Atlas,12,12,52.46
ORD-0116,2025-02-14,2025-02-22,2025-02-23,North,Consumables,Atlas,84,84,107.50
ORD-0117,2025-05-15,2025-05-21,2025-05-22,West,Consumables,Atlas,78,78,173.12
ORD-0118,2025-03-23,2025-03-31,2025-04-02,East,Components,CargoOne,18,16,54.06
ORD-0119,2025-03-11,2025-03-15,2025-03-15,West,Components,Atlas,22,22,178.19
ORD-0120,2025-03-08,2025-03-14,2025-03-15,South,Consumables,CargoOne,33,33,56.59
ORD-0121,2025-04-29,2025-05-07,2025-05-11,North,Finished Goods,BlueLine,117,117,127.69
ORD-0122,2025-05-02,2025-05-05,2025-05-09,East,Finished Goods,CargoOne,93,92,97.60
ORD-0123,2025-02-27,2025-03-03,2025-03-04,South,Finished Goods,Atlas,89,89,18.41
ORD-0124,2025-01-26,2025-01-31,2025-01-31,East,Consumables,Atlas,19,19,136.36
ORD-0125,2025-05-05,2025-05-10,2025-05-14,West,Consumables,BlueLine,16,16,73.02
ORD-0126,2025-02-22,2025-02-25,2025-02-26,East,Consumables,CargoOne,96,91,44.07
ORD-0127,2025-01-29,2025-02-03,2025-02-03,South,Finished Goods,CargoOne,70,70,107.05
ORD-0128,2025-03-30,2025-04-02,2025-04-03,East,Finished Goods,CargoOne,98,98,151.97
ORD-0129,2025-01-06,2025-01-14,2025-01-14,West,Components,BlueLine,11,11,106.76
ORD-0130,2025-01-24,2025-01-29,2025-01-29,East,Components,Atlas,73,73,80.19
ORD-0131,2025-05-07,2025-05-14,2025-05-18,West,Components,CargoOne,51,51,134.34
ORD-0132,2025-05-24,2025-05-28,2025-05-28,East,Finished Goods,BlueLine,48,48,102.44
ORD-0133,2025-05-15,2025-05-18,2025-05-18,North,Consumables,BlueLine,9,7,176.57
ORD-0134,2025-05-26,2025-06-02,2025-06-01,West,Finished Goods,CargoOne,10,10,56.90
ORD-0135,2025-04-21,2025-04-26,2025-04-26,West,Consumables,Atlas,82,82,162.46
ORD-0136,2025-01-10,2025-01-18,2025-01-18,West,Consumables,Atlas,55,53,174.85
ORD-0137,2025-04-27,2025-05-02,2025-05-02,West,Finished Goods,BlueLine,75,75,98.13
ORD-0138,2025-06-11,2025-06-18,2025-06-18,West,Consumables,Atlas,112,112,97.77
ORD-0139,2025-04-06,2025-04-14,2025-04-16,North,Components,CargoOne,84,84,100.69
ORD-0140,2025-03-01,2025-03-05,2025-03-05,North,Components,BlueLine,66,66,74.73
ORD-0141,2025-01-28,2025-02-04,2025-02-04,East,Consumables,Atlas,65,65,18.33
ORD-0142,2025-03-13,2025-03-20,2025-03-21,West,Components,CargoOne,100,100,135.30
ORD-0143,2025-04-18,2025-04-25,2025-04-25,North,Components,BlueLine,12,12,51.93
ORD-0144,2025-06-12,2025-06-19,2025-06-19,West,Finished Goods,BlueLine,20,20,24.89
ORD-0145,2025-01-13,2025-01-20,2025-01-20,West,Consumables,Atlas,90,90,19.31
ORD-0146,2025-03-12,2025-03-17,2025-03-17,North,Consumables,BlueLine,88,88,136.65
ORD-0147,2025-02-04,2025-02-09,2025-02-10,West,Consumables,BlueLine,90,85,33.25
ORD-0148,2025-01-14,2025-01-21,2025-01-22,North,Finished Goods,BlueLine,52,52,114.74
ORD-0149,2025-01-30,2025-02-07,2025-02-08,South,Consumables,CargoOne,102,102,162.77
ORD-0150,2025-03-17,2025-03-24,2025-03-24,West,Components,BlueLine,114,114,66.42
ORD-0151,2025-06-22,2025-06-27,2025-06-27,South,Finished Goods,CargoOne,89,87,46.92
ORD-0152,2025-06-28,2025-07-01,2025-07-05,North,Consumables,Atlas,16,16,103.24
ORD-0153,2025-01-15,2025-01-22,2025-01-23,North,Components,Atlas,32,32,138.05
ORD-0154,2025-04-02,2025-04-07,2025-04-08,East,Finished Goods,Atlas,53,53,26.47
ORD-0155,2025-04-02,2025-04-06,2025-04-06,South,Components,BlueLine,14,14,104.18
ORD-0156,2025-05-25,2025-05-31,2025-06-01,West,Consumables,BlueLine,93,93,24.97
ORD-0157,2025-05-22,2025-05-29,2025-05-30,North,Components,Atlas,6,6,43.34
ORD-0158,2025-03-27,2025-04-01,2025-04-01,East,Components,BlueLine,107,107,148.99
ORD-0159,2025-03-21,2025-03-26,2025-03-26,East,Finished Goods,BlueLine,98,97,92.12
ORD-0160,2025-03-26,2025-03-31,2025-03-31,North,Consumables,BlueLine,113,111,114.92
ORD-0161,2025-02-21,2025-02-26,2025-02-26,North,Components,CargoOne,95,85,106.40
ORD-0162,2025-04-18,2025-04-23,2025-04-23,South,Components,CargoOne,117,117,161.72
ORD-0163,2025-02-17,2025-02-24,2025-02-25,East,Components,CargoOne,87,87,47.55
ORD-0164,2025-01-22,2025-01-25,2025-01-26,South,Components,CargoOne,59,59,94.66
ORD-0165,2025-03-31,2025-04-06,2025-04-07,West,Finished Goods,CargoOne,45,45,80.02
ORD-0166,2025-06-08,2025-06-13,2025-06-13,North,Finished Goods,BlueLine,85,85,171.04
ORD-0167,2025-06-03,2025-06-07,2025-06-08,West,Finished Goods,BlueLine,22,17,55.17
ORD-0168,2025-06-03,2025-06-10,2025-06-12,North,Consumables,Atlas,72,67,66.90
ORD-0169,2025-06-19,2025-06-24,2025-06-24,South,Consumables,BlueLine,66,66,68.02
ORD-0170,2025-03-16,2025-03-19,2025-03-19,South,Finished Goods,Atlas,58,58,171.01
ORD-0171,2025-03-07,2025-03-14,2025-03-15,East,Components,BlueLine,7,7,54.93
ORD-0172,2025-04-10,2025-04-18,2025-04-19,South,Components,Atlas,119,118,110.05
ORD-0173,2025-05-24,2025-05-30,2025-05-30,South,Components,BlueLine,85,84,18.61
ORD-0174,2025-01-11,2025-01-16,2025-01-18,West,Components,BlueLine,54,54,58.80
ORD-0175,2025-06-01,2025-06-09,2025-06-11,West,Consumables,Atlas,39,29,108.53
ORD-0176,2025-03-24,2025-03-29,2025-03-29,South,Finished Goods,BlueLine,60,60,82.89
ORD-0177,2025-06-14,2025-06-19,2025-06-19,East,Consumables,BlueLine,94,94,30.22
ORD-0178,2025-03-11,2025-03-19,2025-03-19,West,Consumables,BlueLine,34,34,129.36
ORD-0179,2025-04-17,2025-04-24,2025-04-23,South,Components,Atlas,32,30,146.28
ORD-0180,2025-04-07,2025-04-12,2025-04-12,East,Components,CargoOne,111,106,117.19
ORD-0181,2025-05-12,2025-05-15,2025-05-15,East,Finished Goods,CargoOne,73,71,10.71
ORD-0182,2025-06-15,2025-06-22,2025-06-23,East,Finished Goods,CargoOne,24,24,110.92
ORD-0183,2025-01-28,2025-02-03,2025-02-02,West,Consumables,CargoOne,54,54,92.54
ORD-0184,2025-05-05,2025-05-10,2025-05-10,South,Components,BlueLine,75,75,74.71
ORD-0185,2025-02-19,2025-02-25,2025-02-25,North,Finished Goods,Atlas,20,15,80.90
ORD-0186,2025-03-02,2025-03-07,2025-03-07,West,Finished Goods,BlueLine,113,113,25.70
ORD-0187,2025-02-17,2025-02-22,2025-02-22,South,Consumables,BlueLine,36,36,141.09
ORD-0188,2025-06-29,2025-07-02,2025-07-06,East,Components,Atlas,8,3,98.04
ORD-0189,2025-06-16,2025-06-20,2025-06-20,South,Finished Goods,Atlas,88,87,72.24
ORD-0190,2025-03-21,2025-03-29,2025-03-29,West,Components,Atlas,71,71,115.84
ORD-0191,2025-03-21,2025-03-25,2025-03-25,North,Finished Goods,Atlas,84,84,171.04
ORD-0192,2025-05-15,2025-05-19,2025-05-19,South,Components,Atlas,71,70,94.91
ORD-0193,2025-05-09,2025-05-15,2025-05-17,South,Components,CargoOne,65,63,153.56
ORD-0194,2025-05-25,2025-05-31,2025-06-01,West,Components,BlueLine,38,38,103.52
ORD-0195,2025-01-09,2025-01-12,2025-01-12,West,Components,Atlas,29,24,72.35
ORD-0196,2025-05-22,2025-05-29,2025-05-29,West,Finished Goods,CargoOne,18,18,42.22
ORD-0197,2025-03-16,2025-03-22,2025-03-21,North,Components,Atlas,6,6,106.89
ORD-0198,2025-06-24,2025-06-30,2025-06-30,North,Components,Atlas,51,49,40.03
ORD-0199,2025-03-23,2025-03-29,2025-03-28,West,Consumables,BlueLine,62,61,136.70
ORD-0200,2025-01-28,2025-02-04,2025-02-04,South,Finished Goods,BlueLine,13,13,44.49
ORD-0201,2025-02-23,2025-03-03,2025-03-03,South,Components,BlueLine,71,70,32.82
ORD-0202,2025-06-28,2025-07-06,2025-07-06,West,Components,Atlas,103,103,50.46
ORD-0203,2025-02-06,2025-02-13,2025-02-13,East,Finished Goods,CargoOne,55,55,82.94
ORD-0204,2025-05-17,2025-05-20,2025-05-21,North,Consumables,BlueLine,85,85,121.54
ORD-0205,2025-02-02,2025-02-09,2025-02-10,South,Finished Goods,BlueLine,115,113,75.95
ORD-0206,2025-03-11,2025-03-19,2025-03-19,East,Components,BlueLine,104,103,66.31
ORD-0207,2025-05-31,2025-06-03,2025-06-05,South,Consumables,BlueLine,52,52,22.35
ORD-0208,2025-06-19,2025-06-27,2025-06-27,North,Components,BlueLine,111,110,14.01
ORD-0209,2025-03-17,2025-03-23,2025-03-23,South,Components,CargoOne,13,13,86.21
ORD-0210,2025-05-20,2025-05-26,2025-05-28,West,Consumables,Atlas,57,57,73.78
ORD-0211,2025-05-24,2025-05-30,2025-06-01,West,Consumables,BlueLine,8,8,121.63
ORD-0212,2025-05-29,2025-06-03,2025-06-03,North,Consumables,Atlas,11,11,84.23
ORD-0213,2025-03-29,2025-04-01,2025-04-01,North,Components,BlueLine,18,18,71.23
ORD-0214,2025-01-07,2025-01-12,2025-01-12,East,Components,CargoOne,64,64,146.71
ORD-0215,2025-05-07,2025-05-15,2025-05-16,East,Components,Atlas,41,39,15.07
ORD-0216,2025-06-13,2025-06-18,2025-06-18,West,Finished Goods,CargoOne,103,103,9.72
ORD-0217,2025-01-07,2025-01-14,2025-01-14,South,Components,BlueLine,19,18,35.54
ORD-0218,2025-03-17,2025-03-22,2025-03-22,East,Finished Goods,Atlas,76,75,81.48
ORD-0219,2025-05-12,2025-05-19,2025-05-20,East,Consumables,BlueLine,114,114,24.38
ORD-0220,2025-03-08,2025-03-13,2025-03-15,West,Components,CargoOne,66,66,85.43
ORD-0221,2025-02-14,2025-02-22,2025-02-21,South,Components,Atlas,18,18,120.99
ORD-0222,2025-04-30,2025-05-07,2025-05-07,South,Components,BlueLine,100,100,29.66
ORD-0223,2025-03-23,2025-03-28,2025-03-28,East,Consumables,CargoOne,97,97,177.35
ORD-0224,2025-06-07,2025-06-10,2025-06-10,West,Finished Goods,BlueLine,69,69,172.15
ORD-0225,2025-03-24,2025-03-29,2025-03-29,East,Consumables,BlueLine,112,107,143.21
ORD-0226,2025-04-27,2025-05-02,2025-05-02,North,Finished Goods,CargoOne,120,120,137.28
ORD-0227,2025-02-06,2025-02-10,2025-02-09,East,Consumables,BlueLine,109,109,33.67
ORD-0228,2025-01-10,2025-01-14,2025-01-18,West,Consumables,Atlas,100,99,76.56
ORD-0229,2025-05-31,2025-06-04,2025-06-05,West,Consumables,Atlas,103,103,166.60
ORD-0230,2025-06-19,2025-06-24,2025-06-24,East,Consumables,CargoOne,17,12,16.26
ORD-0231,2025-03-28,2025-04-05,2025-04-05,North,Components,BlueLine,24,24,98.49
ORD-0232,2025-03-14,2025-03-19,2025-03-19,South,Components,Atlas,97,97,168.65
ORD-0233,2025-01-31,2025-02-06,2025-02-06,South,Consumables,Atlas,27,27,119.86
ORD-0234,2025-06-27,2025-07-02,2025-07-02,North,Finished Goods,BlueLine,14,14,24.72
ORD-0235,2025-06-06,2025-06-09,2025-06-09,East,Consumables,Atlas,41,41,154.24
ORD-0236,2025-02-12,2025-02-15,2025-02-16,North,Finished Goods,BlueLine,115,115,94.54
ORD-0237,2025-05-13,2025-05-20,2025-05-20,East,Components,CargoOne,84,84,9.45
ORD-0238,2025-03-03,2025-03-07,2025-03-07,East,Components,CargoOne,83,83,103.01
ORD-0239,2025-05-24,2025-05-29,2025-05-29,East,Consumables,BlueLine,14,14,30.52
ORD-0240,2025-04-02,2025-04-09,2025-04-09,West,Components,Atlas,78,77,93.66
ORD-0241,2025-02-15,2025-02-18,2025-02-18,East,Consumables,BlueLine,64,64,62.55
ORD-0242,2025-06-02,2025-06-05,2025-06-05,North,Finished Goods,BlueLine,41,41,39.35
ORD-0243,2025-06-27,2025-07-05,2025-07-05,East,Components,CargoOne,105,105,96.12
ORD-0244,2025-01-12,2025-01-19,2025-01-20,North,Components,Atlas,98,98,30.01
ORD-0245,2025-05-13,2025-05-20,2025-05-20,South,Finished Goods,CargoOne,100,99,11.64
ORD-0246,2025-06-22,2025-06-27,2025-06-26,West,Components,CargoOne,71,71,94.53
ORD-0247,2025-05-14,2025-05-19,2025-05-21,East,Components,BlueLine,69,69,68.51
ORD-0248,2025-01-10,2025-01-17,2025-01-17,South,Components,CargoOne,12,12,42.61
ORD-0249,2025-05-12,2025-05-17,2025-05-17,North,Finished Goods,BlueLine,84,84,32.99
ORD-0250,2025-04-03,2025-04-07,2025-04-07,North,Consumables,BlueLine,22,22,72.04
ORD-0251,2025-02-13,2025-02-21,2025-02-22,North,Consumables,CargoOne,18,8,116.24
ORD-0252,2025-03-04,2025-03-08,2025-03-08,South,Components,Atlas,114,109,78.51
ORD-0253,2025-01-22,2025-01-25,2025-01-25,East,Consumables,Atlas,104,104,66.37
ORD-0254,2025-01-12,2025-01-19,2025-01-19,East,Consumables,BlueLine,118,118,31.18
ORD-0255,2025-03-25,2025-03-30,2025-03-31,North,Consumables,BlueLine,114,114,162.74
ORD-0256,2025-04-30,2025-05-03,2025-05-03,West,Finished Goods,Atlas,88,88,73.42
ORD-0257,2025-01-07,2025-01-14,2025-01-13,North,Consumables,Atlas,65,65,15.79
ORD-0258,2025-03-19,2025-03-22,2025-03-22,East,Consumables,BlueLine,71,66,69.96
ORD-0259,2025-02-16,2025-02-21,2025-02-22,North,Components,BlueLine,41,41,139.47
ORD-0260,2025-05-18,2025-05-26,2025-05-26,North,Finished Goods,BlueLine,119,118,172.35
ORD-0261,2025-04-05,2025-04-08,2025-04-08,West,Components,CargoOne,42,40,86.23
ORD-0262,2025-06-19,2025-06-27,2025-06-27,West,Consumables,Atlas,63,63,42.66
ORD-0263,2025-06-29,2025-07-07,2025-07-07,West,Components,BlueLine,12,12,79.48
ORD-0264,2025-01-01,2025-01-07,2025-01-07,West,Consumables,CargoOne,84,84,19.17
ORD-0265,2025-04-07,2025-04-10,2025-04-09,North,Components,BlueLine,77,77,176.39
ORD-0266,2025-05-03,2025-05-06,2025-05-06,West,Consumables,BlueLine,33,28,75.59
ORD-0267,2025-05-12,2025-05-17,2025-05-17,South,Consumables,BlueLine,6,6,77.14
ORD-0268,2025-01-13,2025-01-17,2025-01-17,East,Consumables,BlueLine,58,58,88.75
ORD-0269,2025-02-03,2025-02-11,2025-02-11,East,Consumables,CargoOne,79,69,88.68
ORD-0270,2025-02-09,2025-02-16,2025-02-16,North,Finished Goods,BlueLine,8,8,65.97
ORD-0271,2025-06-27,2025-07-02,2025-07-01,North,Components,BlueLine,81,81,136.01
ORD-0272,2025-06-15,2025-06-20,2025-06-24,North,Consumables,CargoOne,5,5,85.75
ORD-0273,2025-04-06,2025-04-11,2025-04-11,East,Consumables,CargoOne,27,26,94.56
ORD-0274,2025-05-08,2025-05-13,2025-05-15,North,Consumables,Atlas,51,51,149.51
ORD-0275,2025-06-03,2025-06-06,2025-06-06,East,Components,CargoOne,51,51,153.77
ORD-0276,2025-03-24,2025-03-29,2025-03-29,East,Components,BlueLine,117,117,44.75
ORD-0277,2025-04-22,2025-04-30,2025-05-01,South,Components,BlueLine,18,18,160.30
ORD-0278,2025-01-21,2025-01-27,2025-01-27,South,Consumables,CargoOne,73,72,68.14
ORD-0279,2025-03-02,2025-03-10,2025-03-10,South,Consumables,CargoOne,44,43,178.49
ORD-0280,2025-06-19,2025-06-25,2025-06-24,South,Finished Goods,Atlas,77,67,159.26
ORD-0281,2025-02-18,2025-02-23,2025-02-24,South,Finished Goods,BlueLine,114,112,145.52
ORD-0282,2025-05-21,2025-05-26,2025-05-26,West,Consumables,BlueLine,109,99,169.20
ORD-0283,2025-05-28,2025-06-04,2025-06-05,North,Finished Goods,CargoOne,21,21,103.15
ORD-0284,2025-04-12,2025-04-15,2025-04-15,West,Consumables,BlueLine,10,10,78.03
ORD-0285,2025-02-15,2025-02-20,2025-02-20,South,Finished Goods,CargoOne,96,96,119.79
ORD-0286,2025-05-11,2025-05-17,2025-05-21,South,Finished Goods,CargoOne,65,65,44.81
